"Month","Division","Line","Day Type","Reporting Category","Incidents"
"2020-01-01","B DIVISION","L","2",,"0"
"2020-01-01","B DIVISION","L","2","Crew Availability","0"
"2020-01-01","B DIVISION","L","2","External Factors","2"
"2020-01-01","B DIVISION","L","2","Infrastructure & Equipment","4"
"2020-01-01","B DIVISION","L","2","Operating Conditions","8"
"2020-01-01","B DIVISION","L","2","Planned ROW Work","1"
"2020-01-01","B DIVISION","L","2","Police & Medical","3"
"2020-01-01","B DIVISION","M","1",,"0"
"2020-01-01","B DIVISION","M","1","Crew Availability","18"
"2020-01-01","B DIVISION","M","1","External Factors","0"
"2020-01-01","B DIVISION","M","1","Infrastructure & Equipment","17"
"2020-01-01","B DIVISION","M","1","Operating Conditions","97"
"2020-01-01","B DIVISION","M","1","Planned ROW Work","23"
"2020-01-01","B DIVISION","M","1","Police & Medical","31"
"2020-01-01","B DIVISION","M","2",,"0"
"2020-01-01","B DIVISION","M","2","Crew Availability","1"
"2020-01-01","B DIVISION","M","2","External Factors","0"
"2020-01-01","B DIVISION","M","2","Infrastructure & Equipment","6"
"2020-01-01","B DIVISION","M","2","Operating Conditions","27"
"2020-01-01","B DIVISION","M","2","Planned ROW Work","7"
"2020-01-01","B DIVISION","M","2","Police & Medical","12"
"2020-01-01","B DIVISION","N","1",,"0"
"2020-01-01","B DIVISION","N","1","Crew Availability","25"
"2020-01-01","B DIVISION","N","1","External Factors","1"
"2020-01-01","B DIVISION","N","1","Infrastructure & Equipment","62"
"2020-01-01","B DIVISION","N","1","Operating Conditions","141"
"2020-01-01","B DIVISION","N","1","Planned ROW Work","99"
"2020-01-01","B DIVISION","N","1","Police & Medical","60"
"2020-01-01","B DIVISION","N","2",,"0"
"2020-01-01","B DIVISION","N","2","Crew Availability","6"
"2020-01-01","B DIVISION","N","2","External Factors","1"
"2020-01-01","B DIVISION","N","2","Infrastructure & Equipment","12"
"2020-01-01","B DIVISION","N","2","Operating Conditions","29"
"2020-01-01","B DIVISION","N","2","Planned ROW Work","22"
"2020-01-01","B DIVISION","N","2","Police & Medical","16"
"2020-01-01","B DIVISION","Q","1",,"0"
"2020-01-01","B DIVISION","Q","1","Crew Availability","28"
"2020-01-01","B DIVISION","Q","1","External Factors","2"
"2020-01-01","B DIVISION","Q","1","Infrastructure & Equipment","40"
"2020-01-01","B DIVISION","Q","1","Operating Conditions","50"
"2020-01-01","B DIVISION","Q","1","Planned ROW Work","45"
"2020-01-01","B DIVISION","Q","1","Police & Medical","48"
"2020-01-01","B DIVISION","Q","2",,"0"
"2020-01-01","B DIVISION","Q","2","Crew Availability","6"
"2020-01-01","B DIVISION","Q","2","External Factors","3"
"2020-01-01","B DIVISION","Q","2","Infrastructure & Equipment","10"
"2020-01-01","B DIVISION","Q","2","Operating Conditions","23"
"2020-01-01","B DIVISION","Q","2","Planned ROW Work","12"
"2020-01-01","B DIVISION","Q","2","Police & Medical","21"
"2020-01-01","B DIVISION","R","1",,"0"
"2020-01-01","B DIVISION","R","1","Crew Availability","33"
"2020-01-01","B DIVISION","R","1","External Factors","1"
"2020-01-01","B DIVISION","R","1","Infrastructure & Equipment","41"
"2020-01-01","B DIVISION","R","1","Operating Conditions","65"
"2020-01-01","B DIVISION","R","1","Planned ROW Work","38"
"2020-01-01","B DIVISION","R","1","Police & Medical","42"
"2020-01-01","B DIVISION","R","2",,"0"
"2020-01-01","B DIVISION","R","2","Crew Availability","4"
"2020-01-01","B DIVISION","R","2","External Factors","0"
"2020-01-01","B DIVISION","R","2","Infrastructure & Equipment","9"
"2020-01-01","B DIVISION","R","2","Operating Conditions","9"
"2020-01-01","B DIVISION","R","2","Planned ROW Work","6"
"2020-01-01","B DIVISION","R","2","Police & Medical","17"
"2020-01-01","B DIVISION","S Fkln","1",,"0"
"2020-01-01","B DIVISION","S Fkln","1","Crew Availability","0"
"2020-01-01","B DIVISION","S Fkln","1","External Factors","0"
"2020-01-01","B DIVISION","S Fkln","1","Infrastructure & Equipment","2"
"2020-01-01","B DIVISION","S Fkln","1","Operating Conditions","0"
"2020-01-01","B DIVISION","S Fkln","1","Planned ROW Work","0"
"2020-01-01","B DIVISION","S Fkln","1","Police & Medical","1"
"2020-01-01","B DIVISION","S Fkln","2",,"0"
"2020-01-01","B DIVISION","S Fkln","2","Crew Availability","0"
"2020-01-01","B DIVISION","S Fkln","2","External Factors","1"
"2020-01-01","B DIVISION","S Fkln","2","Infrastructure & Equipment","0"
