"month","division","line","day_type","num_on_time_trips","num_sched_trips","terminal_on_time_performance"
"2016-08-01","B DIVISION","L","1","11,161","12,138","91.950898%"
"2016-08-01","B DIVISION","M","1","4,193","6,210","67.5201288%"
"2016-08-01","B DIVISION","N","1","3,932","6,159","63.8415327%"
"2016-08-01","B DIVISION","Q","1","4,422","6,159","71.7973697%"
"2016-08-01","B DIVISION","R","1","3,619","6,501","55.6683587%"
"2016-08-01","B DIVISION","S Fkln","1","2,697","2,714","99.3736183%"
"2016-08-01","B DIVISION","S Rock","1","1,765","1,927","91.59315%"
"2016-09-01","A DIVISION","1","1","6,098","9,609","63.4613383%"
"2016-09-01","A DIVISION","2","1","2,469","7,143","34.5653087%"
"2016-09-01","A DIVISION","3","1","2,861","5,922","48.3113813%"
"2016-09-01","A DIVISION","4","1","2,862","7,839","36.5097589%"
"2016-09-01","A DIVISION","5","1","2,471","6,906","35.7804807%"
"2016-09-01","A DIVISION","6","1","5,804","11,823","49.0907553%"
"2016-09-01","A DIVISION","7","1","10,718","13,047","82.1491531%"
"2016-09-01","A DIVISION","S 42nd","1","13,818","13,979","98.8482724%"
"2016-09-01","B DIVISION","A","1","4,878","7,749","62.9500581%"
"2016-09-01","B DIVISION","B","1","2,885","4,326","66.6897827%"
"2016-09-01","B DIVISION","C","1","2,831","4,200","67.4047619%"
"2016-09-01","B DIVISION","D","1","3,595","5,517","65.1622258%"
"2016-09-01","B DIVISION","E","1","5,547","8,385","66.1538462%"
"2016-09-01","B DIVISION","F","1","4,786","8,001","59.8175228%"
"2016-09-01","B DIVISION","G","1","4,800","5,996","80.0533689%"
"2016-09-01","B DIVISION","JZ","1","3,768","5,859","64.3113159%"
"2016-09-01","B DIVISION","L","1","9,691","10,605","91.3814239%"
"2016-09-01","B DIVISION","M","1","3,774","5,670","66.5608466%"
"2016-09-01","B DIVISION","N","1","3,331","5,625","59.2177778%"
"2016-09-01","B DIVISION","Q","1","3,837","5,793","66.2351113%"
"2016-09-01","B DIVISION","R","1","3,377","5,984","56.4338235%"
